Country,HDI rank,2015 Human Development Index (HDI) ,2015 Life expectancy at birth (Years),2015 Expected years of schooling (Years),2015 Mean years of schooling (Year),2015 Gross national income (GNI) per capita (2011 PPP $),2015 GNI per capita rank minus HDI rank,2014HDI rank
Honduras,130,0.625,73.3,11.2,6.2,4466,11,130
India,131,0.624,68.3,11.7,6.3,5663,-4,131
Bhutan,132,0.607,69.9,12.5,3.1,7081,-12,132
Timor-Leste,133,0.605,68.5,12.5,4.4,5371,-1,133
Vanuatu,134,0.597,72.1,10.8,6.8,2805,23,134
Congo,135,0.592,62.9,11.1,6.3,5503,-7,135
Equatorial Guinea,135,0.592,57.9,9.2,5.5,21517,-79,137
Kiribati,137,0.588,66.2,11.9,7.8,2475,23,136
Lao People's Democratic Republic,138,0.586,66.6,10.8,5.2,5049,-2,137
Bangladesh,139,0.579,72,10.2,5.2,3341,8,140
Ghana,139,0.579,61.5,11.5,6.9,3839,5,140
Zambia,139,0.579,60.8,12.5,6.9,3464,7,139
Sao Tome and Principe,142,0.574,66.6,12,5.3,3070,12,142
Cambodia,143,0.563,68.8,10.9,4.7,3095,10,143
Nepal,144,0.558,70,12.2,4.1,2337,19,144
Myanmar,145,0.556,66.1,9.1,4.7,4943,-6,146
Kenya,146,0.555,62.2,11.1,6.3,2881,10,147
Pakistan,147,0.55,66.4,8.1,5.1,5031,-10,148
Swaziland,148,0.541,48.9,11.4,6.8,7522,-33,149
Syrian Arab Republic,149,0.536,69.7,9,5.1,2441,13,145
Angola,150,0.533,52.7,11.4,5,6291,-27,150
Tanzania (United Republic of),151,0.531,65.5,8.9,5.8,2467,10,152
Nigeria,152,0.527,53.1,10,6,5443,-23,151
Cameroon,153,0.518,56,10.4,6.1,2894,2,154
Papua New Guinea,154,0.516,62.8,9.9,4.3,2712,4,153
Zimbabwe,154,0.516,59.2,10.3,7.7,1588,20,158
Solomon Islands,156,0.515,68.1,9.6,5.3,1561,19,155
Mauritania,157,0.513,63.2,8.5,4.3,3527,-12,155
Madagascar,158,0.512,65.5,10.3,6.1,1320,25,157
Rwanda,159,0.498,64.7,10.8,3.8,1617,14,162
Comoros,160,0.497,63.6,11.1,4.8,1335,22,160
Lesotho,160,0.497,50.1,10.7,6.1,3319,-12,161
Senegal,162,0.494,66.9,9.5,2.8,2250,3,163
Haiti,163,0.493,63.1,9.1,5.2,1657,9,164
Uganda,163,0.493,59.2,10,5.7,1670,8,165
Sudan,165,0.49,63.7,7.2,3.5,3846,-22,165
Togo,166,0.487,60.2,12,4.7,1262,18,167
Benin,167,0.485,59.8,10.7,3.5,1979,1,168
Yemen,168,0.482,64.1,9,3,2300,-4,159
Afghanistan,169,0.479,60.7,10.1,3.6,1871,1,169
Malawi,170,0.476,63.9,10.8,4.4,1073,16,170
Cote d'Ivoire,171,0.474,51.9,8.9,5,3163,-20,172
Djibouti,172,0.473,62.3,6.3,4.1,3216,-22,171
Gambia,173,0.452,60.5,8.9,3.3,1541,3,173
Ethiopia,174,0.448,64.6,8.4,2.6,1523,5,174
Mali,175,0.442,58.5,8.4,2.3,2218,-9,175
Congo (Democratic Republic of the),176,0.435,59.1,9.8,6.1,680,15,178
Liberia,177,0.427,61.2,9.9,4.4,683,13,177
Guinea-Bissau,178,0.424,55.5,9.2,2.9,1369,3,179
Eritrea,179,0.42,64.2,5,3.9,1490,1,181
Sierra Leone,179,0.42,51.3,9.5,3.3,1529,-1,176
Mozambique,181,0.418,55.5,9.1,3.5,1098,4,182
South Sudan,181,0.418,56.1,4.9,4.8,1882,-12,179
Guinea,183,0.414,59.2,8.8,2.6,1058,4,182
Burundi,184,0.404,57.1,10.6,3,691,5,184
Burkina Faso,185,0.402,59,7.7,1.4,1537,-8,185
Chad,186,0.396,51.9,7.3,2.3,1991,-19,186
Niger,187,0.353,61.9,5.4,1.7,889,1,187
Central African Republic,188,0.352,51.5,7.1,4.2,587,4,188
