Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Lebanon,76,0.763,0.603,21,-10,20.4,7.2,0.85,24.1,0.498,30,0.517,..,..,..
Mexico,77,0.762,0.587,22.9,-12,22.4,13.2,0.761,19.7,0.525,34.3,0.506,10.8,2.9,48.2
Azerbaijan,78,0.759,0.659,13.2,5,13,21.7,0.613,8.3,0.663,8.9,0.702,4.8,1.2,31.8
Brazil,79,0.754,0.561,25.6,-19,25,14.4,0.721,22.6,0.527,37.8,0.465,15.5,3.5,51.5
Grenada,79,0.754,..,..,..,..,8.7,0.752,..,..,..,..,..,..,..
Bosnia and Herzegovina,81,0.75,0.65,13.3,6,13.1,6.7,0.813,12.5,0.607,20.2,0.556,5.7,1.3,33.8
The former Yugoslav Republic of Macedonia,82,0.748,0.623,16.7,1,16.1,7.6,0.789,10.6,0.602,30.1,0.509,9.3,2.3,44.1
Algeria,83,0.745,..,..,..,..,18.6,0.689,..,..,..,..,..,..,..
Armenia,84,0.743,0.674,9.3,15,9.2,10.1,0.759,3.7,0.703,13.9,0.573,4.7,1.2,31.5
Ukraine,84,0.743,0.69,7.2,18,7.2,8.7,0.718,3.6,0.774,9.2,0.59,3.3,0.8,24.1
Jordan,86,0.741,0.619,16.5,3,16.4,11.9,0.734,16.9,0.583,20.5,0.554,..,..,..
Peru,87,0.74,0.58,21.6,-8,21.3,14.2,0.724,20.3,0.536,29.5,0.503,10.8,2.3,44.1
Thailand,87,0.74,0.586,20.8,-5,20.2,10.4,0.753,16.1,0.538,34,0.496,6.5,1.7,37.9
Ecuador,89,0.739,0.587,20.5,-1,20.2,15.1,0.733,15.5,0.562,30.1,0.492,10.5,2.5,45.4
China,90,0.738,..,..,..,..,8.9,0.784,..,..,29.5,0.521,9.2,2.1,42.2
Fiji,91,0.736,0.624,15.3,9,15.1,12.3,0.677,10.5,0.695,22.6,0.516,8.2,2.1,42.8
Mongolia,92,0.735,0.639,13,13,13,17.1,0.635,9.4,0.668,12.3,0.616,5,1.2,32
